author,comment,published_at
@yukiyaarashi4010,Wah yg belum nonton trauma code korea tonton deh. Seru bgd tentang pusat trauma dan dokternya yg mirip dr tirta xixixi 😂😂,2026-04-17T02:45:52Z
@FeriCakra-l3t,"oohh aku baru tau, ternyata ada vaksin buat tyfus",2026-04-15T13:46:22Z
@sufoniatunsufoniatun21,ga ada yg seruuu dokkk org berdarah itu😭,2026-04-13T13:02:44Z
@sea9856,dokter itu kaya gini loh.. woi dokter2 di indonesia,2026-04-13T09:35:59Z
@suryadinata2545,Pengen dengar cerita2 igd nya .. meski takut2 .. lanjut dok podcast2 nya,2026-04-13T00:41:36Z
@noreisoff,masih bisa cerita cerita sambil ketawa😭😭😭😭😭😭😭,2026-04-12T12:53:02Z
@rianicaj,0:16 lah sama kayak bang gilbhas afgan raisa dan enzy,2026-04-12T04:22:16Z
@lenyleny1074,Bikin film dokk,2026-04-12T04:07:02Z
@kolkalingkongkong,film apa sih guys yg dimention radit sm dr gia???,2026-04-11T16:30:38Z
@NazaretaMeNyala,"Baru berani nonton ini, nyesel euy. Pegel meringis terus 😭😭😭",2026-04-11T12:18:19Z
@tasyaamelia7012,gua sepanjang vidio 😟😨😰😱,2026-04-11T10:43:36Z
@Hoobabo,Terimakasih ya untuk semua orang2 yang dengan tulus dan ikhlas belajar ilmu kedokteran dan menjadi dokter 😭,2026-04-11T06:48:03Z
@Findyourharmony-g4d,"Dokter cerita: 😆🥰😄😁😋😊
Isi ceritanya : 😨😱😰🤕🤡☠️💀",2026-04-10T06:43:11Z
@doraemonnrl,"Ohh iya ini awal mula dr gia terkenal, aku jg inget lg yg rahim anjir lahhh gk nikah aja kali ya hehe. Ini gua izin gk nonton ahh takut njir",2026-04-10T06:38:47Z
@Tn.Muda_Heroo,woi dik ngobrol sama dk stephanie lagi gua tunggu,2026-04-10T02:43:50Z
@dhilaluhur8721,dr.gia menjelaskan sangat mudah di pahami..❤❤❤❤❤,2026-04-10T02:18:38Z
@rkamila,akuuu baca buku2 dr gia: Perikardia dan Tentang Tubuhmu 😊❤,2026-04-10T01:24:51Z
@aditya-wr155,"Gw denger ceritanya aja tepuk jidat lemes, dia senyum senyum sambil cerita 🤦
Tapi memang jadi orang jangan takut darah karna kalo ada kenapa napa kalo pada takut siapa yg nolong.",2026-04-09T12:32:45Z
@Zoyaa0,nyaman banget ngobrol bareng dr. gia,2026-04-09T09:39:53Z
@lionyony5179,Apa tadi series yang diblng bg radit,2026-04-09T08:15:25Z
